IRI_Initial,TC,SPALL,PATCH,FAULT,AGE,FI,P200,IRI
1.29,0,32.35,0,3.4,2,66,12,1.341
1.86,0,0,0,0,28,552,35.20000076,1.864
1.29,0,32.35,0,3.4,2,66,12,1.291
1.29,0,0,0,6.8,3,27,12,1.697
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,1.606
1.29,0,0,0,6.8,3,27,12,1.384
1.29,0,0,0,6.8,4,8,12,1.381
1.86,0,0,0,0,28,552,35.20000076,1.897
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.311
1.29,0,0,0,6.8,3,27,12,1.721
1.29,0,0,0,6.8,3,27,12,1.374
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,1.579
1.34,4,0,0,15,15,98,33.5,1.353
1.58,0,0,0,7.5,25,311,6,1.69
2.36,16,8,0,2.5,14,146,11.69999981,2.509
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,2.659
1.34,4,0,0,25,14,211,33.5,1.353
1.34,4,0,0,25,14,211,33.5,1.402
1.34,4,0,0,25,14,211,33.5,1.392
1.34,4,0,0,25,14,211,33.5,1.367
1.34,4,0,0,25,14,211,33.5,1.406
1.86,0,0,0,5,31,222,35.20000076,1.959
1.14,0,5.88,0,23.8,5,19,9,1.385
1.14,0,5.88,0,23.8,5,19,9,1.381
2.58,0,4,0.100000001,5,22,486,6.800000191,2.604
1.34,4,0,0,25,14,211,33.5,1.399
1.29,0,0,0,6.8,4,8,12,1.361
1.29,0,0,0,6.8,4,8,12,1.343
1.58,0,0,0,7.5,25,311,6,1.701
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.298
1.17,0,6.38,125.5,32.9,0,144,16.5,1.249
1.07,0,7.5,36.90000153,0,0,144,25.70000076,1.155
0.82,0,69.7,0,3.3,1,52,11.89999962,0.901
1.49,0,0,0,0,0,144,9.800000191,1.506
0.82,0,72.73,0,0,0,144,11.89999962,0.841
0.82,0,69.7,0,3.3,1,52,11.89999962,0.838
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.215
1.49,0,0,0,0,1,52,9.800000191,1.537
1.34,4,0,0,25,14,211,33.5,1.385
1.34,4,0,0,25,14,211,33.5,1.365
1.34,4,0,0,25,14,211,33.5,1.343
2.58,0,4,0,5,25,312,6.800000191,2.498
2.58,0,4,0,5,25,312,6.800000191,2.552
1.86,0,0,0,5,31,222,35.20000076,1.94
1.34,4,0,0,15,15,98,33.5,1.412
2.58,0,4,0.100000001,5,22,486,6.800000191,2.622
2.58,0,4,0.100000001,5,22,486,6.800000191,2.58
1.77,0,0,0,0,5,19,48.59999847,1.888
1.77,0,0,0,0,5,19,48.59999847,1.873
2.58,0,4,0.100000001,5,22,486,6.800000191,2.61
2.58,0,4,0.100000001,5,22,486,6.800000191,2.596
1.34,4,0,0,25,14,211,33.5,1.365
1.49,0,0,0,0,1,52,9.800000191,1.559
0.82,0,72.73,0,0,0,144,11.89999962,0.858
1.17,0,6.38,125.5,32.9,0,144,16.5,1.211
1.14,0,5.88,0,23.8,5,19,9,1.407
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,2.98
1.77,0,0,0,0,5,19,48.59999847,1.899
1.14,0,5.88,0,23.8,5,19,9,1.446
1.58,0,0,0,10,22,479,6,1.664
1.58,0,0,0,10,22,479,6,1.731
1.77,0,0,0,0,5,19,48.59999847,1.891
1.58,0,16,0,7.5,21,639,6,1.601
1.86,8.33,4.17,0,21.6,17,29,28.5,1.929
1.86,8.33,4.17,0,21.6,17,29,28.5,1.921
1.86,8.33,4.17,0,21.6,17,29,28.5,1.858
0.82,0,69.7,0,3.3,1,52,11.89999962,0.87
1.17,0,6.38,125.5,32.9,0,144,16.5,1.22
0.82,0,69.7,0,3.3,1,52,11.89999962,0.9
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.278
1.07,0,7.5,36.90000153,0,0,144,25.70000076,1.117
1.49,0,0,0,0,0,144,9.800000191,1.516
0.82,0,69.7,0,3.3,1,52,11.89999962,0.852
1.49,0,0,0,0,1,52,9.800000191,1.549
0.82,0,72.73,0,0,0,144,11.89999962,0.864
0.82,0,69.7,0,3.3,1,52,11.89999962,0.888
1.07,0,7.5,36.90000153,0,0,144,25.70000076,1.094
0.82,0,69.7,0,3.3,1,52,11.89999962,0.914
1.49,0,0,0,0,0,144,9.800000191,1.497
0.82,0,72.73,0,0,0,144,11.89999962,0.827
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,2.723
1.58,0,0,0,7.5,25,311,6,1.687
1.55,0,9.09,0,3.3,0,144,21.60000038,1.575
0.94,0,91.43,15.10000038,0,0,144,17.10000038,0.944
0.84,0,0,0,0,1,52,16.20000076,0.847
0.94,0,91.43,15.10000038,0,0,144,17.10000038,0.991
0.94,0,0,17.19999981,0,1,52,17.10000038,1.049
1.07,0,7.5,36.90000153,0,0,144,25.70000076,1.13
0.84,0,0,0,0,1,52,16.20000076,0.874
0.84,0,3.03,0,0,0,144,16.20000076,0.884
0.94,0,0,17.19999981,0,1,52,17.10000038,1.012
1.69,0,23.08,21.80000067,15.6,12,864,4.699999809,1.585
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,2.968
1.07,0,7.5,36.90000153,0,0,144,25.70000076,1.119
1.49,0,0,0,0,1,52,9.800000191,1.504
1.17,0,6.38,125.5,32.9,0,144,16.5,1.177
0.82,0,72.73,0,0,0,144,11.89999962,0.821
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.299
0.82,0,69.7,0,3.3,1,52,11.89999962,0.841
0.82,0,69.7,0,3.3,1,52,11.89999962,0.849
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.283
0.82,0,69.7,0,3.3,1,52,11.89999962,0.914
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.266
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.301
0.94,0,0,17.19999981,0,1,52,17.10000038,0.994
0.84,0,0,0,0,1,52,16.20000076,0.88
0.94,0,0,17.19999981,0,1,52,17.10000038,1.03
0.84,0,0,0,0,1,52,16.20000076,0.881
1.55,0,9.09,0,3.3,0,144,21.60000038,1.593
0.94,0,91.43,15.10000038,0,0,144,17.10000038,0.972
1.58,0,0,0,7.5,25,311,6,1.705
1.58,0,0,0,7.5,25,311,6,1.699
2.58,0,4,0,5,25,312,6.800000191,2.481
1.34,4,0,0,15,15,98,33.5,1.378
1.86,0,0,0,5,31,222,35.20000076,1.928
1.29,0,0,0,3.4,5,19,12,1.517
1.29,0,0,0,3.4,5,19,12,1.528
1.58,0,0,0,10,22,479,6,1.719
1.55,0,0,0,3.3,1,52,21.60000038,1.566
0.84,0,3.03,0,0,0,144,16.20000076,0.889
0.84,0,0,0,0,1,52,16.20000076,0.897
0.84,0,0,0,0,1,52,16.20000076,0.881
1.55,0,0,0,3.3,1,52,21.60000038,1.64
1.55,0,9.09,0,3.3,0,144,21.60000038,1.566
1.69,0,30.77,25.60000002,10.4,13,1009,4.699999809,2.755
1.86,8.33,4.17,0,21.6,17,29,28.5,1.894
1.86,8.33,4.17,0,21.6,17,29,28.5,1.95
1.49,0,0,0,0,0,144,9.800000191,1.507
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.269
1.49,0,0,0,0,0,144,9.800000191,1.502
1.49,0,0,0,0,1,52,9.800000191,1.518
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.186
1.17,0,6.38,125.5,32.9,0,144,16.5,1.196
0.84,0,3.03,0,0,0,144,16.20000076,0.872
0.94,0,0,17.19999981,0,1,52,17.10000038,1.05
0.84,0,3.03,0,0,0,144,16.20000076,0.894
1.29,0,0,0,6.8,4,8,12,1.384
1.58,0,16,0,7.5,21,639,6,1.587
1.58,0,0,0,10,22,479,6,1.706
0.94,0,0,17.19999981,0,1,52,17.10000038,1.035
