ST,BT,AD,JS,AP,AT,FI,SC,EM,DE,TS,CT,AG,TL
205.74,154.94,4304,4482.352941,226.7,23,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,10,28.08399025
205.74,154.94,4391,4482.352941,228.8,23.1,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,11,28.60892367
205.74,154.94,4574,4482.352941,229.9,23.2,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,15,36.48293926
205.74,154.94,4371,4482.352941,251.7,23.1,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,17,40.74803049
205.74,154.94,4513,4482.352941,113.6,22.9,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,18,41.01049931
205.74,154.94,4417,4482.352941,102.8,23.7,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,19,44.55380552
205.74,154.94,4436,4482.352941,245.9,23.3,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,21,48.03149594
205.74,154.94,4698,4482.352941,190.6,23.3,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,22,51.77165454
205.74,154.94,6166,4482.352941,193.9,23.6,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,23,53.80577428
210.82,157.48,2800,4482.352941,151.1,23.1,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,4,3.937007874
210.82,157.48,7674,4482.352941,152.2,22.1,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,6,8.136482689
210.82,157.48,8472,4482.352941,212.8,22.7,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,7,10.17060367
210.82,157.48,9353,4482.352941,157.6,22.5,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,8,14.56692963
210.82,157.48,10234,4482.352941,94.7,22.2,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,9,16.07611549
210.82,157.48,4304,4482.352941,226.7,23,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,10,13.188976
210.82,157.48,4391,4482.352941,228.8,23.1,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,11,13.38582699
210.82,157.48,4574,4482.352941,229.9,23.2,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,15,14.63254543
210.82,157.48,4371,4482.352941,251.7,23.1,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,17,19.68503984
