ST,BT,BL,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,LC
205.74,154.94,1,10234,4482.352941,94.69999695,22.20000076,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,9,52.03412086
205.74,154.94,1,4304,4482.352941,226.6999969,23,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,10,40.5511806
205.74,154.94,1,4391,4482.352941,228.8000031,23.10000038,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,11,51.18110314
205.74,154.94,1,4574,4482.352941,229.8999939,23.20000076,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,15,69.02887283
205.74,154.94,1,4371,4482.352941,251.6999969,23.10000038,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,17,74.80315086
205.74,154.94,1,4513,4482.352941,113.5999985,22.89999962,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,18,77.69028721
205.74,154.94,1,4417,4482.352941,102.8000031,23.70000076,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,19,115.8136514
205.74,154.94,1,4436,4482.352941,245.8999939,23.29999924,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,21,123.293963
205.74,154.94,1,4698,4482.352941,190.6000061,23.29999924,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,22,138.1233583
205.74,154.94,1,6166,4482.352941,193.8999939,23.60000038,0,29.55553787,34559.68458,2.292247326,5.20611787,3.918521933,8.38E-06,23,139.8293991
210.82,157.48,1,2800,4482.352941,151.1000061,23.10000038,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,4,5.905511811
210.82,157.48,1,7674,4482.352941,152.1999969,22.10000038,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,6,7.283464817
210.82,157.48,1,8472,4482.352941,212.8000031,22.70000076,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,7,9.580052744
210.82,157.48,1,9353,4482.352941,157.6000061,22.5,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,8,9.580052744
210.82,157.48,1,10234,4482.352941,94.69999695,22.20000076,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,9,8.136482846
210.82,157.48,1,4304,4482.352941,226.6999969,23,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,10,12.0734908
210.82,157.48,1,4391,4482.352941,228.8000031,23.10000038,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,11,11.22047195
210.82,157.48,1,4371,4482.352941,251.6999969,23.10000038,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,17,6.824146731
210.82,157.48,1,4513,4482.352941,113.5999985,22.89999962,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,18,8.792650668
210.82,157.48,1,4417,4482.352941,102.8000031,23.70000076,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,19,47.37532858
210.82,157.48,1,4436,4482.352941,245.8999939,23.29999924,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,21,71.58792801
210.82,157.48,1,4698,4482.352941,190.6000061,23.29999924,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,22,74.86876791
210.82,157.48,1,6166,4482.352941,193.8999939,23.60000038,0,49.27455147,30051.39062,2.300790517,6.331687933,3.394979824,8.38E-06,23,87.79527556
274.32,157.48,1,2800,4482.352941,151.1000061,23.10000038,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,4,1.115485596
274.32,157.48,1,4304,4482.352941,226.6999969,23,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,10,0.393700803
274.32,157.48,1,4391,4482.352941,228.8000031,23.10000038,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,11,0.393700803
274.32,157.48,1,4574,4482.352941,229.8999939,23.20000076,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,15,1.640419948
274.32,157.48,1,4371,4482.352941,251.6999969,23.10000038,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,17,2.165354299
274.32,157.48,1,4513,4482.352941,113.5999985,22.89999962,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,18,2.624671916
274.32,157.48,1,4417,4482.352941,102.8000031,23.70000076,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,19,4.133858393
