ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,PN,PL,FA
200.660,147.320,4698.000,4.482,190.600,23.300,0.000,0.655,739.694,2.295,0.099,0.063,8.36E-06,22.00,1.00,1.20,0.70
210.820,154.940,4698.000,4.482,190.600,23.300,0.000,0.941,629.565,2.287,0.126,0.082,8.36E-06,22.00,0.00,0.00,1.70
200.660,147.320,6166.000,4.482,193.900,23.600,0.000,0.655,739.694,2.295,0.099,0.063,8.36E-06,23.00,1.00,1.00,0.80
279.400,160.020,8472.000,4.482,212.800,22.700,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,7.00,0.00,0.00,0.40
210.820,154.940,2746.000,4.482,183.100,22.800,0.000,0.941,629.565,2.287,0.126,0.082,8.36E-06,2.00,0.00,0.00,0.60
210.820,154.940,4417.000,4.482,102.800,23.700,0.000,0.941,629.565,2.287,0.126,0.082,8.36E-06,19.00,0.00,0.00,1.20
210.820,154.940,4436.000,4.482,245.900,23.300,0.000,0.941,629.565,2.287,0.126,0.082,8.36E-06,21.00,0.00,0.00,1.20
210.820,154.940,6166.000,4.482,193.900,23.600,0.000,0.941,629.565,2.287,0.126,0.082,8.36E-06,23.00,0.00,0.00,1.30
279.400,160.020,4304.000,4.482,226.700,23.000,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,10.00,0.00,0.00,0.10
279.400,160.020,4304.000,4.482,226.700,23.000,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,10.00,0.00,0.00,0.10
279.400,160.020,4391.000,4.482,228.800,23.100,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,11.00,0.00,0.00,0.40
279.400,160.020,4391.000,4.482,228.800,23.100,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,11.00,0.00,0.00,0.40
279.400,160.020,4391.000,4.482,228.800,23.100,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,11.00,0.00,0.00,0.40
279.400,160.020,4574.000,4.482,229.900,23.200,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,15.00,0.00,0.00,1.30
279.400,160.020,4371.000,4.482,251.700,23.100,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,17.00,0.00,0.00,0.90
284.480,160.020,2746.000,4.482,183.100,22.800,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,2.00,0.00,0.00,0.40
279.400,160.020,4417.000,4.482,102.800,23.700,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,19.00,0.00,0.00,0.60
279.400,160.020,4436.000,4.482,245.900,23.300,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,21.00,0.00,0.00,0.60
284.480,160.020,8472.000,4.482,212.800,22.700,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,7.00,0.00,0.00,0.20
279.400,160.020,4698.000,4.482,190.600,23.300,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,22.00,0.00,0.00,0.80
279.400,160.020,6166.000,4.482,193.900,23.600,0.000,0.671,681.492,2.277,0.107,0.064,8.10E-06,23.00,0.00,0.00,0.60
284.480,160.020,4574.000,4.482,229.900,23.200,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,15.00,0.00,0.00,0.90
284.480,160.020,4391.000,4.482,228.800,23.100,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,11.00,0.00,0.00,0.70
284.480,160.020,4436.000,4.482,245.900,23.300,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,21.00,0.00,0.00,0.30
284.480,160.020,4698.000,4.482,190.600,23.300,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,22.00,0.00,0.00,0.70
284.480,160.020,6166.000,4.482,193.900,23.600,0.000,0.998,665.108,2.308,0.121,0.085,7.95E-06,23.00,0.00,0.00,0.60
205.740,154.940,2746.000,4.482,183.100,22.800,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,2.00,0.00,0.00,0.60
205.740,154.940,8472.000,4.482,212.800,22.700,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,7.00,0.00,0.00,0.30
205.740,154.940,4391.000,4.482,228.800,23.100,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,11.00,0.00,0.00,0.60
205.740,154.940,4371.000,4.482,251.700,23.100,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,17.00,0.00,0.00,0.70
205.740,154.940,4417.000,4.482,102.800,23.700,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,19.00,0.00,0.00,0.50
205.740,154.940,4436.000,4.482,245.900,23.300,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,21.00,0.00,0.00,0.40
205.740,154.940,4698.000,4.482,190.600,23.300,0.000,0.622,726.997,2.292,0.114,0.082,8.36E-06,22.00,0.00,0.00,0.90
210.820,157.480,2746.000,4.482,183.100,22.800,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,2.00,0.00,0.00,0.50
210.820,157.480,8472.000,4.482,212.800,22.700,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,7.00,0.00,0.00,0.10
210.820,157.480,4391.000,4.482,228.800,23.100,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,11.00,0.00,0.00,0.50
